Property ID 	 Property Label 	 Matching Frame 	 Score
P941	inspired by	Subjective_influence	0.6252513026733948
P941	inspired by	Talking_into	0.43903273553215955
P941	inspired by	Source_of_getting	0.43791927387362684
P941	inspired by	Experiencer_subj	0.4361192068635827
P941	inspired by	Setting_out	0.414337109432275
P941	inspired by	Emanating	0.4033377841788825
P941	inspired by	Getting_scenario	0.3969269182914371
P941	inspired by	Cognitive_connection	0.39498513754013354
P941	inspired by	Attributed_information	0.39226360372131286
P941	inspired by	Cause_to_start	0.38289001802691136
P1346	winner	Finish_competition	0.7001600103250057
P1346	winner	Competition	0.3866832252125019
P1346	winner	Clarity_of_resolution	0.3661126219566687
P1346	winner	Ordinal_numbers	0.35635413575934205
P1346	winner	Participation	0.3317905206809241
P1346	winner	Process_end	0.3200337567402291
P1346	winner	Lose_possession	0.31288230642964343
P1346	winner	Performers_and_roles	0.30035412712284987
P1346	winner	Receiving	0.29889566166663467
P1346	winner	Performers	0.28691196076471526
P1104	number of pages	Adding_up	0.4910004997754667
P1104	number of pages	Amounting_to	0.4768794374264999
P1104	number of pages	Text_creation	0.46262670256831945
P1104	number of pages	Reading	0.46210920887525936
P1104	number of pages	Quantity	0.43164643892347015
P1104	number of pages	Summarizing	0.42803002309900745
P1104	number of pages	Measures	0.4214784029664998
P1104	number of pages	Attributed_information	0.3922447000612078
P1104	number of pages	Cardinal_numbers	0.3760989667255102
P1104	number of pages	Religious_belief	0.3751212880538558
P828	has cause	Causation	0.7118161895714692
P828	has cause	Explaining_the_facts	0.6479216258269676
P828	has cause	Causation_scenario	0.5807779349348053
P828	has cause	Objective_influence	0.5780311435238794
P828	has cause	Cause_to_start	0.5492154299317994
P828	has cause	Relative_time	0.5470771507266288
P828	has cause	Response	0.5439062705304082
P828	has cause	Measure_scenario	0.5437708147814867
P828	has cause	Likelihood	0.542455406229507
P828	has cause	Sign	0.5379187697362104
P1344	participant of	Participation	0.6108627575358982
P1344	participant of	Membership	0.4756174522252273
P1344	participant of	Activity_abandoned_state	0.4516679734499227
P1344	participant of	Suspicion	0.43496481806197373
P1344	participant of	Process_stopped_state	0.42963103557357074
P1344	participant of	Performers_and_roles	0.4281475097382457
P1344	participant of	Becoming_a_member	0.3998367255844525
P1344	participant of	Taking_sides	0.3991610496823717
P1344	participant of	First_rank	0.3956187718594142
P1344	participant of	Time_vector	0.3938885758424169
P1345	number of victims	Amounting_to	0.4699728671117053
P1345	number of victims	Undergoing	0.45136484308304614
P1345	number of victims	Adding_up	0.4446466948221228
P1345	number of victims	Cardinal_numbers	0.40869613355229384
P1345	number of victims	Abusing	0.39292200471803446
P1345	number of victims	Quantity	0.3786188175914704
P1345	number of victims	Clemency	0.36544178521167314
P1345	number of victims	Committing_crime	0.35906114489064694
P1345	number of victims	Unemployment_rate	0.3580433151210033
P1345	number of victims	Suspicion	0.3551601336629552
P1100	number of cylinders	Cause_fluidic_motion	0.4410213220121822
P1100	number of cylinders	Gizmo	0.4362441103106578
P1100	number of cylinders	Fastener	0.40874205247533874
P1100	number of cylinders	Containers	0.40202800467326105
P1100	number of cylinders	Process	0.3776209991684256
P1100	number of cylinders	Fluidic_motion	0.36968595796032994
P1100	number of cylinders	Being_in_operation	0.36416729142766424
P1100	number of cylinders	Measure_volume	0.355589984653563
P1100	number of cylinders	Use_firearm	0.3542432448340735
P1100	number of cylinders	Connectors	0.34743634318418354
P1342	number of members	Membership	0.6222794356960755
P1342	number of members	Alliance	0.4855951488278507
P1342	number of members	Public_services	0.47289458711816035
P1342	number of members	Adding_up	0.46202471277049395
P1342	number of members	Amounting_to	0.45624507796689673
P1342	number of members	People_along_political_spectrum	0.4194718725424953
P1342	number of members	Increment	0.41913413942268357
P1342	number of members	Organization	0.39716457316251413
P1342	number of members	Inclusion	0.3962799032167608
P1342	number of members	Ratification	0.3847225260189617
P1340	eye color	Color	0.5434725361709221
P1340	eye color	Location_of_light	0.5234642992913013
P1340	eye color	Light_movement	0.5226885602615073
P1340	eye color	Perception_active	0.46489370518627426
P1340	eye color	Body_decoration	0.4593163744542968
P1340	eye color	Part_inner_outer	0.4227698607425304
P1340	eye color	Observable_bodyparts	0.42250132282668185
P1340	eye color	Body_mark	0.41523477132692327
P1340	eye color	Sidereal_appearance	0.40189895473194126
P1340	eye color	Shaped_part	0.40053434741505006
P272	production company	Behind_the_scenes	0.6846658320423764
P272	production company	Performing_arts	0.5655338618204114
P272	production company	Performers	0.46358907768134433
P272	production company	Physical_artworks	0.45744594677423334
P272	production company	Performers_and_roles	0.4301104275354613
P272	production company	Buildings	0.42618105606475276
P272	production company	Practice	0.4194395148461753
P272	production company	Part_ordered_segments	0.41312012292441064
P272	production company	Text	0.41096700918705065
P272	production company	Building_subparts	0.4096198350601132
P137	operator	Operating_a_system	0.6439252371284943
P137	operator	Using	0.5732277560848918
P137	operator	Being_in_operation	0.5631633860988671
P137	operator	Public_services	0.5222441224544846
P137	operator	Employing	0.5121074359457825
P137	operator	Commerce_scenario	0.5104583335989309
P137	operator	Being_operational	0.5104087096819528
P137	operator	Change_operational_state	0.5031019163746081
P137	operator	Product_delivery	0.4902562496955496
P137	operator	Businesses	0.48954621967197154
P931	place served by airport	Political_locales	0.44940694725216024
P931	place served by airport	Locale_by_use	0.4404361631056564
P931	place served by airport	Being_located	0.4369733617106391
P931	place served by airport	Locale	0.41572092450938597
P931	place served by airport	Board_vehicle	0.38494499542732813
P931	place served by airport	Residence	0.3796526574616421
P931	place served by airport	Cause_begin_motion	0.3692961217810287
P931	place served by airport	Expected_location_of_person	0.36103801376986144
P931	place served by airport	Direction	0.35838700285181696
P931	place served by airport	Part_orientational	0.3410503006849306
P138	named after	Namesake	0.6513408847720183
P138	named after	Being_named	0.6470154809631292
P138	named after	Word_relations	0.6326742067590975
P138	named after	Name_conferral	0.598800546069237
P138	named after	Achieving_first	0.5266764864163278
P138	named after	Linguistic_meaning	0.49593968750906964
P138	named after	People_by_morality	0.46997084838202463
P138	named after	People_by_origin	0.46324788942601475
P138	named after	Spelling_and_pronouncing	0.46286876058487675
P138	named after	Body_description_part	0.46155045675036366
P495	country of origin	Indigenous_origin	0.7091897860630288
P495	country of origin	Foreign_or_domestic_country	0.5443680197156471
P495	country of origin	Locale	0.539956869860338
P495	country of origin	Political_locales	0.49137613078425996
P495	country of origin	Origin	0.48529962175411934
P495	country of origin	Actually_occurring_entity	0.4841820517914085
P495	country of origin	People_by_origin	0.47397437129892206
P495	country of origin	Within_distance	0.4626592387903185
P495	country of origin	Smuggling	0.44803259732744555
P495	country of origin	Isolated_places	0.4479162515313092
P1339	number of injured	Experience_bodily_harm	0.5453966461072215
P1339	number of injured	Medical_conditions	0.5452832366733229
P1339	number of injured	Undergoing	0.48782349192397684
P1339	number of injured	Recovery	0.3976276807641752
P1339	number of injured	Cause_harm	0.3938380581442588
P1339	number of injured	Attack	0.3935246610381248
P1339	number of injured	Obligation_scenario	0.37821836573434886
P1339	number of injured	Rashness	0.3727283987029462
P1339	number of injured	Influence_of_event_on_cognizer	0.371490202162862
P1339	number of injured	State_of_entity	0.3643311759254426
P140	religion	People_by_religion	0.6419314664252032
P140	religion	People_along_political_spectrum	0.5584588996571319
P140	religion	Institutions	0.5434655425745877
P140	religion	Religious_belief	0.5286116866862974
P140	religion	Rite	0.5085912579609166
P140	religion	People_by_jurisdiction	0.4802743262495435
P140	religion	Social_connection	0.4790278971675612
P140	religion	Strictness	0.47159756468196795
P140	religion	Proper_reference	0.46121198713631134
P140	religion	Partiality	0.45060123928668366
P169	chief executive officer	Leadership	0.460661092239663
P169	chief executive officer	People_by_vocation	0.3664734752430434
P169	chief executive officer	First_rank	0.3082692044708872
P169	chief executive officer	Quitting	0.3015682774636457
P169	chief executive officer	Subordinates_and_Superiors	0.2922428462002202
P169	chief executive officer	Employing	0.2753946319497374
P169	chief executive officer	Simple_naming	0.25740959181618284
P169	chief executive officer	Commerce_money-transfer	0.25294887401533006
P169	chief executive officer	Businesses	0.25291507242478145
P169	chief executive officer	Public_services	0.2517236304979601
P286	head coach	Organization	0.47641476485663015
P286	head coach	People_by_vocation	0.4007640145406437
P286	head coach	Leadership	0.3797633710397382
P286	head coach	Education_teaching	0.37771460422468434
P286	head coach	Defend	0.3741424665037731
P286	head coach	First_rank	0.36800756694964004
P286	head coach	Quitting	0.36059944687509965
P286	head coach	Hiring	0.35278106884646365
P286	head coach	Expertise	0.3486733308827584
P286	head coach	Employing	0.3414057697822273
P607	conflict	Hostile_encounter	0.7345198634427046
P607	conflict	Quarreling	0.5539269939641979
P607	conflict	Fighting_activity	0.5004026209877038
P607	conflict	Compatibility	0.41868957105390225
P607	conflict	Point_of_dispute	0.40700003618611613
P607	conflict	Attack	0.3769846764129656
P607	conflict	Discussion	0.37002423608301527
P607	conflict	Change_of_leadership	0.36514090725498605
P607	conflict	Military	0.35931558087745696
P607	conflict	Influence_of_event_on_cognizer	0.35614538119638334
P1444	journey destination	Travel	0.7492316343839266
P1444	journey destination	Setting_out	0.6668302964295793
P1444	journey destination	Arriving	0.5686294007834981
P1444	journey destination	Traversing	0.5095275987081228
P1444	journey destination	Ride_vehicle	0.5062961560413691
P1444	journey destination	Path_shape	0.48606466066047255
P1444	journey destination	Board_vehicle	0.48158244919889914
P1444	journey destination	Path_travelled	0.4762151911081841
P1444	journey destination	Cause_begin_motion	0.46909841805069874
P1444	journey destination	Process_end	0.45886696130456217
P175	performer	Noise_makers	0.5537366332895358
P175	performer	Performers	0.5080339648230945
P175	performer	Behind_the_scenes	0.48309652301871264
P175	performer	People_by_vocation	0.4385651406727375
P175	performer	Performing_arts	0.40918386133277274
P175	performer	Performers_and_roles	0.3829030331308073
P175	performer	Text	0.3794276273395487
P175	performer	Aggregate	0.34726115919127937
